workbook_linha,celula_forecast,entidade,interpretacao,valor_informado_no_workbook,celula_compartilhada_com,corroboracao_interna,resultado,status
19,Forecast A41!A11,valor_retirada@L1 (diário),Valor de retirada de condensado da linha L1.,Valor para Julho 2026 = 47,valor_retirada@L2 valor_retirada@L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3,,fonte Forecast A41 indisponível,NOT VERIFIED
20,Forecast A41!A11,valor_retirada@L2 (diário),Valor de retirada de condensado da linha L2.,Valor para Julho 2026 = 47,valor_retirada@L1 valor_retirada@L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3,,fonte Forecast A41 indisponível,NOT VERIFIED
21,Forecast A41!A11,valor_retirada@L3 (diário),Valor de retirada de condensado da linha L3.,Valor para Julho 2026 = 48,valor_retirada@L1 valor_retirada@L2 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3,,fonte Forecast A41 indisponível,NOT VERIFIED
22,Forecast A41!A11,retirada_condensado_grupo@L1_L3 (diário),Retirada de condensado calculada para o grupo de linhas L1 a L3.,,valor_retirada@L1 valor_retirada@L2 valor_retirada@L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3,,fonte Forecast A41 indisponível,NOT VERIFIED
23,Forecast A41!A11,retirada_condensado_grupo@L1_L3 (mensal),Média mensal da retirada de condensado calculada para o grupo de linhas L1 a L3.,,valor_retirada@L1 valor_retirada@L2 valor_retirada@L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3,,fonte Forecast A41 indisponível,NOT VERIFIED
24,Forecast A41!A11,retirada_condensado_grupo@L1_L3 (anual),Média anual da retirada de condensado calculada para o grupo de linhas L1 a L3.,,valor_retirada@L1 valor_retirada@L2 valor_retirada@L3 retirada_condensado_grupo@L1_L3 retirada_condensado_grupo@L1_L3,,fonte Forecast A41 indisponível,NOT VERIFIED
25,Forecast A41!A16,hes_l4@L4 (diário),Estado operacional da linha L4.,"Essas variáveis irão receber strings, como ""Normal"", ""LC"", ""Overhaul/Parada""",,,fonte Forecast A41 indisponível,NOT VERIFIED
26,Forecast A41!A17,hes_l5@L5 (diário),Estado operacional da linha L5.,"Essas variáveis irão receber strings, como ""Normal"", ""LC"", ""Overhaul/Parada""",,,fonte Forecast A41 indisponível,NOT VERIFIED
27,Forecast A41!A18,hes_l6@L6 (diário),Estado operacional da linha L6.,"Essas variáveis irão receber strings, como ""Normal"", ""LC"", ""Overhaul/Parada""",,,fonte Forecast A41 indisponível,NOT VERIFIED
28,Forecast A41!A19,hes_l7@L7 (diário),Estado operacional da linha L7.,"Essas variáveis irão receber strings, como ""Normal"", ""LC"", ""Overhaul/Parada""",,,fonte Forecast A41 indisponível,NOT VERIFIED
29,Forecast A41!C26,desconto_retirada_41c@L4_L5 (diário),Desconto de retirada associado à condição 41c para o grupo de linhas L4 e L5.,VERIFICAR se esse valor pode ser proneveniente do Plano de Manutenção,,"decisão do usuário: Forecast A41!C26 (igual); linha 26 da aba corresponde, pelos parâmetros do próprio workbook, a 41c",fonte Forecast A41 indisponível,NOT VERIFIED
30,Forecast A41!C28,desconto_retirada_41c@L6_L7 (diário),Desconto de retirada associado à condição 41c para o grupo de linhas L6 e L7.,VERIFICAR se esse valor pode ser proneveniente do Plano de Manutenção,,"decisão do usuário: Forecast A41!C28 (igual); linha 28 da aba corresponde, pelos parâmetros do próprio workbook, a NENHUMA condição declarada",fonte Forecast A41 indisponível,NOT VERIFIED
31,Forecast A41!C27,desconto_retirada_41d@L4_L5 (diário),Desconto de retirada associado à condição 41d para o grupo de linhas L4 e L5.,VERIFICAR se esse valor pode ser proneveniente do Plano de Manutenção,,"decisão do usuário: Forecast A41!C27 (igual); linha 27 da aba corresponde, pelos parâmetros do próprio workbook, a 41d",fonte Forecast A41 indisponível,NOT VERIFIED
32,Forecast A41!B23,retirada_meta_41a@PLANTA (parâmetro),Meta de retirada de condensado para a condição operacional 41a.,45,,,fonte Forecast A41 indisponível,NOT VERIFIED
33,Forecast A41!B24,retirada_meta_41b@PLANTA (parâmetro),Meta de retirada de condensado para a condição operacional 41b.,47.5,,,fonte Forecast A41 indisponível,NOT VERIFIED
34,Forecast A41!B25,retirada_meta_41x@PLANTA (parâmetro),Meta de retirada de condensado para a condição operacional 41x.,47.5,,,fonte Forecast A41 indisponível,NOT VERIFIED
35,Forecast A41!B26,retirada_meta_41c@PLANTA (parâmetro),Meta de retirada de condensado para a condição operacional 41c.,50,,,fonte Forecast A41 indisponível,NOT VERIFIED
36,Forecast A41!B27,retirada_meta_41d@PLANTA (parâmetro),Meta de retirada de condensado para a condição operacional 41d.,50,,,fonte Forecast A41 indisponível,NOT VERIFIED
37,Forecast A41!F26,retirada_performance_41c@PLANTA (parâmetro),Desempenho de retirada associado à condição operacional 41c.,5,,,fonte Forecast A41 indisponível,NOT VERIFIED
38,Forecast A41!I23,retirada_manobra_linha_41a@PLANTA (parâmetro),Retirada de condensado adicional associada à manobra da linha 41a.,5,,,fonte Forecast A41 indisponível,NOT VERIFIED
39,Forecast A41!A12,retirada_condensado_grupo@L4_L5 (diário),Retirada de condensado calculada para o grupo de linhas L4 e L5 conforme os estados operacionais das linhas.,Referências de desconto_retirada_41c/41d são inconsistentes com a aplicação nos ,retirada_condensado_grupo@L4_L5 retirada_condensado_grupo@L4_L5,,fonte Forecast A41 indisponível,NOT VERIFIED
40,Forecast A41!A12,retirada_condensado_grupo@L4_L5 (mensal),Média mensal da retirada de condensado calculada para o grupo de linhas L4 e L5.,,retirada_condensado_grupo@L4_L5 retirada_condensado_grupo@L4_L5,,fonte Forecast A41 indisponível,NOT VERIFIED
41,Forecast A41!A12,retirada_condensado_grupo@L4_L5 (anual),Média anual da retirada de condensado calculada para o grupo de linhas L4 e L5.,,retirada_condensado_grupo@L4_L5 retirada_condensado_grupo@L4_L5,,fonte Forecast A41 indisponível,NOT VERIFIED
42,Forecast A41!A13,retirada_condensado_grupo@L6_L7 (diário),Retirada de condensado calculada para o grupo de linhas L6 e L7 conforme os estados operacionais das linhas.,Referências de desconto_retirada_41c/41d são inconsistentes com a aplicação nos ,retirada_condensado_grupo@L6_L7 retirada_condensado_grupo@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
43,Forecast A41!A13,retirada_condensado_grupo@L6_L7 (mensal),Média mensal da retirada de condensado calculada para o grupo de linhas L6 e L7.,,retirada_condensado_grupo@L6_L7 retirada_condensado_grupo@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
44,Forecast A41!A13,retirada_condensado_grupo@L6_L7 (anual),Média anual da retirada de condensado calculada para o grupo de linhas L6 e L7.,,retirada_condensado_grupo@L6_L7 retirada_condensado_grupo@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
45,Forecast A41!A3,retirada_condensado_linha@L1 (diário),Retirada de condensado calculada para a linha L1 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
46,Forecast A41!A4,retirada_condensado_linha@L2 (diário),Retirada de condensado calculada para a linha L2 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
47,Forecast A41!A5,retirada_condensado_linha@L3 (diário),Retirada de condensado calculada para a linha L3 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
48,Forecast A41!A6,retirada_condensado_linha@L4 (diário),Retirada de condensado calculada para a linha L4 a partir da alocação proporcional do resultado do grupo L4 a L5 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
49,Forecast A41!A7,retirada_condensado_linha@L5 (diário),Retirada de condensado calculada para a linha L5 a partir da alocação proporcional do resultado do grupo L4 a L5 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
50,Forecast A41!A8,retirada_condensado_linha@L6 (diário),Retirada de condensado calculada para a linha L6 a partir da alocação proporcional do resultado do grupo L6 a L7 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
51,Forecast A41!A9,retirada_condensado_linha@L7 (diário),Retirada de condensado calculada para a linha L7 a partir da alocação proporcional do resultado do grupo L6 a L7 pelo LTH da linha.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
52,Forecast A41!A3:A9,retirada_condensado_linha@L1_L7 (mensal),Média mensal da retirada de condensado calculada para cada linha da área 41.,,retirada_condensado_linha@L1_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
53,Forecast A41!A3:A9,retirada_condensado_linha@L1_L7 (anual),Média anual da retirada de condensado calculada para cada linha da área 41.,,retirada_condensado_linha@L1_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
54,Forecast A41!A10,retirada_condensado_total@L1_L7 (diário),Retirada de condensado total calculada para o conjunto das linhas L1 a L7.,,retirada_condensado_total@L1_L7 retirada_condensado_total@L1_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
55,Forecast A41!A10,retirada_condensado_total@L1_L7 (mensal),Média mensal da retirada de condensado total calculada para o conjunto das linhas L1 a L7.,,retirada_condensado_total@L1_L7 retirada_condensado_total@L1_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
56,Forecast A41!A10,retirada_condensado_total@L1_L7 (anual),Média anual da retirada de condensado total calculada para o conjunto das linhas L1 a L7.,,retirada_condensado_total@L1_L7 retirada_condensado_total@L1_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
