transicao,celula,entidade,antes,depois,natureza,esperada,justificativa
v3 -> v4,(expression),retirada_cond_corr_lth@diário@linha_grupo@L1_L3,19.475*ln(lth * fator_retirada_cond_corr_lth) - 85.999,19.475*ln(lth_grupo * fator_retirada_cond_corr_lth) - 85.999,expression,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(expression),retirada_cond_corr_lth@diário@linha_grupo@L4_L5,19.475*ln(lth * fator_retirada_cond_corr_lth) - 85.999,19.475*ln(lth_grupo * fator_retirada_cond_corr_lth) - 85.999,expression,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(expression),retirada_cond_corr_lth@diário@linha_grupo@L6_L7,19.475*ln(lth * fator_retirada_cond_corr_lth) - 85.999,19.475*ln(lth_grupo * fator_retirada_cond_corr_lth) - 85.999,expression,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(identidade),retirada_condensado_grupo@anual@linha_grupo@L1_L3,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_grupo@anual@linha_grupo@L4_L5,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_grupo@anual@linha_grupo@L6_L7,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(OBS),retirada_condensado_grupo@diário@linha_grupo@L4_L5,None,"Referências de desconto_retirada_41c/41d são inconsistentes com a aplicação nos ramos 1 By pass e 1 By pass e LC. No grupo L4_L5 utiliza-se desconto_retirada_41c/41d, enquanto no L6_L7 apenas desconto_retirada_41c. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional.",OBS,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(OBS),retirada_condensado_grupo@diário@linha_grupo@L6_L7,None,"Referências de desconto_retirada_41c/41d são inconsistentes com a aplicação nos ramos 1 By pass e 1 By pass e LC. No grupo L4_L5 utiliza-se desconto_retirada_41c/41d, enquanto no L6_L7 apenas desconto_retirada_41c. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional.",OBS,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(identidade),retirada_condensado_grupo@mensal@linha_grupo@L1_L3,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_grupo@mensal@linha_grupo@L4_L5,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_grupo@mensal@linha_grupo@L6_L7,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@anual@linha@L1_L7,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L1,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L1_L7,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L2,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L3,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L4,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L5,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L6,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@diário@linha@L7,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_linha@mensal@linha@L1_L7,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_total@anual@linha_grupo@L1_L7,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_condensado_total@mensal@linha_grupo@L1_L7,2 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_manobra_linha_41a@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_manobra_linha_41a@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41a@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41a@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41b@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41b@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41c@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41c@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41d@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41d@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41x@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_meta_41x@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_performance_41c@None@planta@PLANTA,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),retirada_performance_41c@None@planta@planta,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v4 -> v5_input,C3,vazao_ltp@L1_L3,,Vazão de LTP do grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C4,vazao_ltp@L4_L5,,Vazão de LTP do grupo de linhas L4 a L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C5,vazao_ltp@L6_L7,,Vazão de LTP do grupo de linhas L6 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C6,retirada_cond_corr_ltp@L1_L3,,Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C7,retirada_cond_corr_ltp@L4_L5,,Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L4 a L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C8,retirada_cond_corr_ltp@L6_L7,,Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L6 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C9,lth@L1_L7,,"LTH de cada linha da área 41, utilizado nos cálculos de retirada de condensado.",description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C10,lth_grupo@L1_L3,,"Média dos valores de LTH das linhas L1, L2 e L3.",description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C11,lth_grupo@L4_L5,,Média dos valores de LTH das linhas L4 e L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C12,lth_grupo@L6_L7,,Média dos valores de LTH das linhas L6 e L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C13,fator_retirada_cond_corr_lth@L1_L3,,Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C14,fator_retirada_cond_corr_lth@L4_L5,,Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L4 a L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C15,fator_retirada_cond_corr_lth@L6_L7,,Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L6 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C16,retirada_cond_corr_lth@L1_L3,,Retirada de condensado corrigida em função do LTH para o grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C17,retirada_cond_corr_lth@L4_L5,,Retirada de condensado corrigida em função do LTH para o grupo de linhas L4 a L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C18,retirada_cond_corr_lth@L6_L7,,Retirada de condensado corrigida em função do LTH para o grupo de linhas L6 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C19,valor_retirada@L1,,Valor de retirada de condensado da linha L1.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C20,valor_retirada@L2,,Valor de retirada de condensado da linha L2.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C21,valor_retirada@L3,,Valor de retirada de condensado da linha L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C22,retirada_condensado_grupo@L1_L3,,Retirada de condensado calculada para o grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C23,retirada_condensado_grupo@L1_L3,,Média mensal da retirada de condensado calculada para o grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C24,retirada_condensado_grupo@L1_L3,,Média anual da retirada de condensado calculada para o grupo de linhas L1 a L3.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C25,hes_l4@L4,,Estado operacional da linha L4.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C26,hes_l5@L5,,Estado operacional da linha L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C27,hes_l6@L6,,Estado operacional da linha L6.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C28,hes_l7@L7,,Estado operacional da linha L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C29,desconto_retirada_41c@L4_L5,,Desconto de retirada associado à condição 41c para o grupo de linhas L4 e L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C30,desconto_retirada_41c@L6_L7,,Desconto de retirada associado à condição 41c para o grupo de linhas L6 e L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C31,desconto_retirada_41d@L4_L5,,Desconto de retirada associado à condição 41d para o grupo de linhas L4 e L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C32,retirada_meta_41a@PLANTA,,Meta de retirada de condensado para a condição operacional 41a.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C33,retirada_meta_41b@PLANTA,,Meta de retirada de condensado para a condição operacional 41b.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C34,retirada_meta_41x@PLANTA,,Meta de retirada de condensado para a condição operacional 41x.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C35,retirada_meta_41c@PLANTA,,Meta de retirada de condensado para a condição operacional 41c.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C36,retirada_meta_41d@PLANTA,,Meta de retirada de condensado para a condição operacional 41d.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C37,retirada_performance_41c@PLANTA,,Desempenho de retirada associado à condição operacional 41c.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C38,retirada_manobra_linha_41a@PLANTA,,Retirada de condensado adicional associada à manobra da linha 41a.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C39,retirada_condensado_grupo@L4_L5,,Retirada de condensado calculada para o grupo de linhas L4 e L5 conforme os estados operacionais das linhas.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C40,retirada_condensado_grupo@L4_L5,,Média mensal da retirada de condensado calculada para o grupo de linhas L4 e L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C41,retirada_condensado_grupo@L4_L5,,Média anual da retirada de condensado calculada para o grupo de linhas L4 e L5.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C42,retirada_condensado_grupo@L6_L7,,Retirada de condensado calculada para o grupo de linhas L6 e L7 conforme os estados operacionais das linhas.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C43,retirada_condensado_grupo@L6_L7,,Média mensal da retirada de condensado calculada para o grupo de linhas L6 e L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C44,retirada_condensado_grupo@L6_L7,,Média anual da retirada de condensado calculada para o grupo de linhas L6 e L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C45,retirada_condensado_linha@L1,,Retirada de condensado calculada para a linha L1 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M45,retirada_condensado_linha@L1,( retirada_condensado_grupo@L1_L3 * lth@L1 ) / lth_grupo@L1_L3,( retirada_condensado_grupo@L1_L3 * lth@L1 ) / ( lth@L1 + lth@L2 + lth@L3 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C46,retirada_condensado_linha@L2,,Retirada de condensado calculada para a linha L2 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M46,retirada_condensado_linha@L2,( retirada_condensado_grupo@L1_L3 * lth@L2 ) / lth_grupo@L1_L3,( retirada_condensado_grupo@L1_L3 * lth@L2 ) / ( lth@L1 + lth@L2 + lth@L3 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C47,retirada_condensado_linha@L3,,Retirada de condensado calculada para a linha L3 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M47,retirada_condensado_linha@L3,( retirada_condensado_grupo@L1_L3 * lth@L3 ) / lth_grupo@L1_L3,( retirada_condensado_grupo@L1_L3 * lth@L3 ) / ( lth@L1 + lth@L2 + lth@L3 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C48,retirada_condensado_linha@L4,,Retirada de condensado calculada para a linha L4 a partir da alocação proporcional do resultado do grupo L4 a L5 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M48,retirada_condensado_linha@L4,( retirada_condensado_grupo@L4_L5 * lth@L4 ) / lth_grupo@L4_L5,( retirada_condensado_grupo@L4_L5 * lth@L4 ) / (  lth@L4 +  lth@L5 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C49,retirada_condensado_linha@L5,,Retirada de condensado calculada para a linha L5 a partir da alocação proporcional do resultado do grupo L4 a L5 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M49,retirada_condensado_linha@L5,( retirada_condensado_grupo@L4_L5 * lth@L5 ) / lth_grupo@L4_L5,( retirada_condensado_grupo@L4_L5 * lth@L5 ) / (  lth@L4 +  lth@L5 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C50,retirada_condensado_linha@L6,,Retirada de condensado calculada para a linha L6 a partir da alocação proporcional do resultado do grupo L6 a L7 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M50,retirada_condensado_linha@L6,( retirada_condensado_grupo@L6_L7 * lth@L6 ) / lth_grupo@L6_L7,( retirada_condensado_grupo@L6_L7 * lth@L6 ) / (  lth@L6 +  lth@L7 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C51,retirada_condensado_linha@L7,,Retirada de condensado calculada para a linha L7 a partir da alocação proporcional do resultado do grupo L6 a L7 pelo LTH da linha.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,M51,retirada_condensado_linha@L7,( retirada_condensado_grupo@L6_L7 * lth@L7 ) / lth_grupo@L6_L7,( retirada_condensado_grupo@L6_L7 * lth@L7 ) / (  lth@L6 +  lth@L7 ),expression,sim,§7: denominador Σ lth do grupo em vez de lth_grupo.
v4 -> v5_input,C52,retirada_condensado_linha@L1_L7,,Média mensal da retirada de condensado calculada para cada linha da área 41.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C53,retirada_condensado_linha@L1_L7,,Média anual da retirada de condensado calculada para cada linha da área 41.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C54,retirada_condensado_total@L1_L7,,Retirada de condensado total calculada para o conjunto das linhas L1 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C55,retirada_condensado_total@L1_L7,,Média mensal da retirada de condensado total calculada para o conjunto das linhas L1 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v4 -> v5_input,C56,retirada_condensado_total@L1_L7,,Média anual da retirada de condensado total calculada para o conjunto das linhas L1 a L7.,description,sim,Descrições aprovadas (vazias no v4).
v5_input -> v5_validado,P1,(cabeçalho),,Variables,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P2,(cabeçalho),,value_type,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P3,vazao_ltp@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P4,vazao_ltp@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P5,vazao_ltp@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P6,retirada_cond_corr_ltp@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P7,retirada_cond_corr_ltp@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P8,retirada_cond_corr_ltp@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P9,lth@L1_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P10,lth_grupo@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P11,lth_grupo@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P12,lth_grupo@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P13,fator_retirada_cond_corr_lth@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P14,fator_retirada_cond_corr_lth@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P15,fator_retirada_cond_corr_lth@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P16,retirada_cond_corr_lth@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P17,retirada_cond_corr_lth@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P18,retirada_cond_corr_lth@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P19,valor_retirada@L1,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P20,valor_retirada@L2,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P21,valor_retirada@L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P22,retirada_condensado_grupo@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P23,retirada_condensado_grupo@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P24,retirada_condensado_grupo@L1_L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P25,hes_l4@L4,,categorical,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P26,hes_l5@L5,,categorical,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P27,hes_l6@L6,,categorical,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P28,hes_l7@L7,,categorical,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P29,desconto_retirada_41c@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P30,desconto_retirada_41c@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P31,desconto_retirada_41d@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
